stop_id,name,lat,lon,parent_id
100151,UNIVERSITY AV/W 176 ST,  40.849277, -73.916917,100151
100152,UNIVERSITY AV/W TREMONT AV,  40.850268, -73.915494,100152
100153,UNIVERSITY AV/MORTON PL,  40.852194, -73.913668,100153
100154,UNIVERSITY AV/W BURNSIDE AV #1,  40.853604, -73.912302,100154
100155,UNIVERSITY AV/W BURNSIDE AV,  40.854707, -73.911236,100155
100156,UNIVERSITY AV/W 181 ST,  40.857351, -73.909569,100156
100157,UNIVERSITY AV/W 183 ST,  40.859697, -73.907623,100157
100158,UNIVERSITY AV/W 183 ST,  40.861189, -73.906268,100157
100159,UNIVERSITY AV/W FORDHAM RD,  40.862638, -73.904979,100159
100161,UNIVERSITY AV/W 190 ST,  40.865519, -73.903034,100161
100162,UNIVERSITY AV/W 192 ST,  40.867220, -73.901763,100162
100164,W KINGSBRIDGE RD/SEDGWICK AV,  40.869541, -73.903603,100164
100165,SEDGWICK AV/W 195 ST,  40.870704, -73.902501,100165
100166,SEDGWICK AV/W 197 ST,  40.872786, -73.901961,100166
100167,SEDGWICK AV/W 229 ST,  40.873612, -73.901681,100167
100169,FT INDEPENDENCE/GILES PL,  40.878638, -73.898998,100169
100170,FT INDEPENDENCE ST/BAILEY PL,  40.880716, -73.899081,100170
100171,W 238 ST/ORLOFF AV,  40.883001, -73.897776,100171
100172,W 238 ST/BAILEY AV,  40.884297, -73.898273,100172
100173,W 238 ST/BROADWAY,  40.885085, -73.900434,100173
100176,W 238 ST/BROADWAY,  40.884969, -73.900478,100173
100177,W 238 ST/BAILEY AV,  40.884069, -73.898230,100172
100178,W 238 ST/ORLOFF AV,  40.882502, -73.898138,100171
100179,FT INDEPENDENCE ST/BAILEY PL,  40.881015, -73.899200,100170
100180,FT INDEPENDENCE ST/HEATH AV,  40.878971, -73.899692,100180
100182,SEDGWICK AV/W 229 ST,  40.873415, -73.901931,100167
100183,SEDGWICK AV/W 197 ST,  40.872199, -73.902327,100166
100184,SEDGWICK AV/W 195 ST,  40.870311, -73.902951,100165
100187,UNIVERSITY AV/W 192 ST,  40.867105, -73.902085,100162
100188,UNIVERSITY AV/W 190 ST,  40.865122, -73.903489,100161
100189,UNIVERSITY AV/W FORDHAM RD,  40.862861, -73.904923,100159
100191,UNIVERSITY AV/W 183 ST,  40.859354, -73.908072,100157
100195,UNIVERSITY AV/W TREMONT AV,  40.850235, -73.916007,100152
100197,UNIVERSITY AV/W 176 ST,  40.848679, -73.918097,100151
100198,UNIVERSITY AV/W 174 ST,  40.846977, -73.920644,100149
100199,UNIVERSITY AV/WASHINGTON BRIDGE,  40.845313, -73.922556,100199
100204,WESTCHESTER AV/ST ANNS AV,  40.816026, -73.912148,100204
100206,WESTCHESTER AV/JACKSON AV,  40.816164, -73.908320,100206
100207,WESTCHESTER AV/E 156 ST,  40.817829, -73.905423,100207
100209,WESTCHESTER AV/PROSPECT AV,  40.819413, -73.902025,100209
100211,WESTCHESTER AV/REV J POLITE AV,  40.820880, -73.899106,100211
100212,WESTCHESTER AV/INTERVALE AV,  40.821942, -73.897089,100212
100213,WESTCHESTER AV/TIFFANY ST,  40.822989, -73.895064,100213
100214,WESTCHESTER AV/SIMPSON ST,  40.824006, -73.893119,100214
